academic_year,availability,booking_fee,building_name,currency,date_end,date_start,deposit,description,offers,rent_pm,rent_pw,rent_total,room_name,tenancy_months,tenancy_type,tenancy_weeks,url,utilities_included
2023/2024,sold out,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1187.33,274.0,11782.0,Classic Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
2023/2024,available,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,689.0,159.0,6996.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,available,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,719.33,166.0,7304.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,available,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,741.0,171.0,7524.0,Classic Studio - Own Terrace,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,sold out,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,767.0,177.0,7788.0,Classic Studio - Cityscape View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,available,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,793.0,183.0,8052.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,sold out,n/a,Oldgate House,GBP,12/07/24,28/10/23,n/a,n/a,n/a,793.0,183.0,6771.0,Classic Studio - Own Terrace,8.5,shorter tenancy,37,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,sold out,n/a,Oldgate House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,806.0,186.0,8184.0,Classic Bigger Studio - Cityscape View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,sold out,n/a,Oldgate House,GBP,12/07/24,28/10/23,n/a,n/a,n/a,810.33,187.0,6919.0,Classic Studio,8.5,shorter tenancy,37,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/,n/a
2023/2024,sold out,n/a,Metrovick House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,936.0,216.0,9504.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/,n/a
2023/2024,sold out,n/a,Metrovick House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,988.0,228.0,10032.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/,n/a
2023/2024,sold out,n/a,Metrovick House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1144.0,264.0,11616.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1282.67,296.0,12728.0,Premium Shared Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1295.67,299.0,12857.0,Premium Bigger Shared Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1356.33,313.0,13459.0,Premium Bigger 4 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1434.33,331.0,14233.0,Premium 2 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1685.67,389.0,16727.0,Premium Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1902.33,439.0,18877.0,Premium Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1928.33,445.0,19135.0,Premium Bigger Studio - Dual Aspect,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,2067.0,477.0,20511.0,Premium Duplex,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,St Marys,GBP,23/08/24,28/10/23,n/a,n/a,n/a,2188.33,505.0,21715.0,Premium 1-Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,719.33,166.0,7304.0,"Classic Smaller Studio - Single Bed, Great View",10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,745.33,172.0,7568.0,Classic Smaller Studio - Single Bed,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,780.0,180.0,7920.0,Classic Smaller 2 Bed Apartment - Shared Bathroom,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,819.0,189.0,8316.0,Classic 2 Bed Apartment - Shared Bathroom,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,858.0,198.0,8712.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,888.33,205.0,9020.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,914.33,211.0,9284.0,Classic Studio - Great View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,953.33,220.0,9680.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,966.33,223.0,9812.0,Classic Bigger Studio - Great View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1248.0,288.0,12672.0,Classic 1-Bed Apartment,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,sold out,n/a,Claremont Place,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1287.0,297.0,13068.0,Classic 1-Bed Apartment - Great View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/,n/a
2023/2024,available,n/a,The Ballet School,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1131.0,261.0,11223.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/,n/a
2023/2024,available,n/a,The Ballet School,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1170.0,270.0,11610.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/,n/a
2023/2024,available,n/a,The Ballet School,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1217.67,281.0,12083.0,Classic Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/,n/a
